dark,ratin,name,RA,DEC,Const,size,Mv,type,distance,descr
,,KRG60,22:28:22,57:45:23,Cep,3.0",10-11,Double,13.1,Red dwarfs
,,NGC7293,22:30:09,-20:44:57,Aqr,13',6.5,PN,530,"Helix" Nebula
,,NGC7331,22:37:33,34:28:21,Peg,11'x4',9.5,G-Sb,50e6,Bright spiral
,,NGC7479,23:05:24,12:22:23,Peg,3.2'x2.5',11.8,G-Sb,105e6,S-shaped spiral
,XXXX,NGC7662,23:26:23,42:36:36,And,20",9.2,PN,4600,"Blue Snowball" nebula
,,TX PSC,23:46:55,03:32:42,Psc,-,4.8-5.2,Var.,760,Carbon star
# Solar system parameters are not constant... they will be derived.
,XXXX,Moon,00:00:00,00:00:00,-,30',-,SS,0.002,
,X,Mercury,00:00:00,00:00:00,-,-,-,SS,0.39,
,XXX,Venus,00:00:00,00:00:00,-,-,-,SS,1.74,
,XX,Mars,00:00:00,00:00:00,-,-,-,SS,1.50,
,XXXX,Jupiter,00:00:00,00:00:00,-,-,-,SS,4.94,
,XXXX,Saturn,00:00:00,00:00:00,-,-,-,SS,8.0,
,X,Uranus,00:00:00,00:00:00,-,-,-,SS,18.28,
,X,Neptune,00:00:00,00:00:00,-,-,-,SS,30.1,
,,Pluto,00:00:00,00:00:00,-,-,-,SS,39.5,
